word,definition,example
eternal,Continuing forever or indefinitely.,the ageless themes of love and revenge
eternally,For a limitless time; ; - p.p.bliss.,no one can live forever
eternity,Time without end.,
ethic,The principles of right and wrong that are accepted by an individual or a social group.,the Puritan ethic
ethnic,A person who is a member of an ethnic group.,
euro,"The basic monetary unit of most members of the european union (introduced in 1999); in 2002 twelve european nations (germany, france, belgium, luxembourg, the netherlands, italy, spain, portugal, ireland, greece, austria, finland) adopted the euro as their basic unit of money and abandoned their traditional currencies.",
evacuate,Move out of an unsafe location into safety.,"After the earthquake, residents were evacuated"
evacuation,The act of removing the contents of something.,
evaluate,"Evaluate or estimate the nature, quality, ability, extent, or significance of.",I will have the family jewels appraised by a professional
evaluation,Act of ascertaining or fixing the value or worth of.,
even,The latter part of the day (the period of decreasing daylight from late afternoon until nightfall).,he enjoyed the evening light across the lake
evening,The latter part of the day (the period of decreasing daylight from late afternoon until nightfall).,he enjoyed the evening light across the lake
evenly,In equal amounts or shares; in a balanced or impartial way.,a class evenly divided between girls and boys
event,Something that happens at a given place and time.,
eventually,After an unspecified period of time or an especially long delay.,
ever,At any time.,did you ever smoke?
everlasting,Any of various plants of various genera of the family compositae having flowers that can be dried without loss of form or color.,
every,(used of count nouns) each and all of the members of a group considered singly and without exception.,every person is mortal
everybody,,
everyday,Found in the ordinary course of events; ; ; - anita diamant.,a placid everyday scene
everyone,,
everything,,
everywhere,To or in any or all places; ; ; ; ; (`everyplace' is used informally for `everywhere').,You find fast food stores everywhere
evidence,Your basis for belief or disbelief; knowledge on which to base belief.,the evidence that smoking causes lung cancer is very compelling
evident,Clearly revealed to the mind or the senses or judgment.,the effects of the drought are apparent to anyone who sees the parched fields
evidently,Unmistakably (`plain' is often used informally for `plainly').,the answer is obviously wrong
evil,Morally objectionable behavior.,
evolution,A process in which something passes by degrees to a different stage (especially a more advanced or mature stage).,the development of his ideas took many years
evolve,Work out.,We have developed a new theory of evolution
exact,Claim as due or just.,The bank demanded payment of the loan
exactly,Indicating exactness or preciseness.,he was doing precisely (or exactly) what she had told him to do
exactness,The quality of being exact.,he demanded exactness in all details
exaggerate,To enlarge beyond bounds or the truth.,tended to romanticize and exaggerate this `gracious Old South' imagery
exaggeration,Extravagant exaggeration.,
exalt,"Praise, glorify, or honor.",extol the virtues of one's children
exam,A set of questions or exercises evaluating skill or knowledge.,when the test was stolen the professor had to make a new set of questions
examination,The act of examining something closely (as for mistakes).,
examine,Consider in detail and subject to an analysis in order to discover essential features or meaning.,analyze a sonnet by Shakespeare
examinee,Someone who is tested (as by an intelligence test or an academic examination).,
examiner,Someone who administers a test to determine your qualifications.,
example,An item of information that is typical of a class or group.,this patient provides a typical example of the syndrome
exceed,Be greater in scope or size than some standard.,Their loyalty exceeds their national bonds
excel,Distinguish oneself.,She excelled in math
excellence,The quality of excelling; possessing good qualities in high degree.,
excellent,Very good;of the highest quality.,made an excellent speech
except,Take exception to.,he demurred at my suggestion to work on Saturday
exception,A deliberate act of omission.,"with the exception of the children, everyone was told the news"
exceptional,Far beyond what is usual in magnitude or degree.,a night of exceeding darkness
exceptionally,To an exceptional degree.,it worked exceptionally well
excess,A quantity much larger than is needed.,
excessive,Beyond normal limits.,excessive charges
exchange,Chemical process in which one atom or ion or group changes places with another.,
exchange rate,,
excited,Arouse or elicit a feeling.,
excitedly,With excitement; in an excited manner.,she shook his hand excitedly
excitement,The feeling of lively and cheerful joy.,he could hardly conceal his excitement when she agreed
exciting,Arouse or elicit a feeling.,
exclaim,"Utter aloud; often with surprise, horror, or joy.",`I won!' he exclaimed
exclamation mark,,
exclude,Prevent from being included or considered or accepted.,The bad results were excluded from the report
exclusion,The state of being excluded.,
exclusive,A news report that is reported first by one news organization.,he got a scoop on the bribery of city officials
exclusively,Without any others being included or involved.,was entirely to blame
excursion,A journey taken for pleasure.,many summer excursions to the shore
excuse,A defense of some offensive behavior or some failure to keep a promise etc.,he kept finding excuses to stay
execute,Kill as a means of socially sanctioned punishment.,"In some states, criminals are executed"
execution,Putting a condemned person to death.,
executive,A person responsible for the administration of a business.,
exercise,The activity of exerting your muscles in various ways to keep fit.,the doctor recommended regular exercise
exhaust,Gases ejected from an engine as waste products.,
exhausted,Wear out completely.,This kind of work exhausts me
exhausting,Wear out completely.,This kind of work exhausts me
exhaustion,Extreme fatigue.,
exhibit,An object or statement produced before a court of law and referred to while giving evidence.,
exhibition,The act of exhibiting.,a remarkable exhibition of musicianship
exile,A person who is voluntarily absent from home or country.,American expatriates
exist,"Have an existence, be extant.",Is there a God?
existence,The state or fact of existing.,a point of view gradually coming into being
existing,"Have an existence, be extant.",Is there a God?
exit,An opening that permits escape or release.,he blocked the way out
exotic,Being or from or characteristic of another place or part of the world.,alien customs
expand,Extend in one or more directions.,The dough expands
expansion,The act of increasing (something) in size or volume or quantity or scope.,
expect,Regard something as probable or likely.,The meteorologists are expecting rain for tomorrow
expectation,Belief about (or mental picture of) the future.,
expected,Regard something as probable or likely.,The meteorologists are expecting rain for tomorrow
expedition,A military campaign designed to achieve a specific objective in a foreign country.,
expense,Amounts paid for goods and services that may be currently tax deductible (as opposed to capital expenditures).,
expensive,High in price or charging high prices.,expensive clothes
experience,The accumulation of knowledge or skill that results from direct participation in events or activities.,a man of experience
experienced,Go or live through.,We had many trials to go through
experiment,The act of conducting a controlled test or investigation.,
expert,A person with special knowledge or ability who performs skillfully.,
explain,Make plain and comprehensible.,He explained the laws of physics to his students
explanation,A statement that makes something comprehensible by describing the relevant structure or operation or circumstances etc.,the explanation was very simple
explode,Cause to burst with a violent release of energy.,We exploded the nuclear bomb
exploit,A notable achievement.,he performed a great feat
exploration,To travel for the purpose of discovery.,
explore,Inquire into.,the students had to research the history of the Second World War for their history project
explorer,Someone who travels into little known regions (especially for some scientific purpose).,
explosion,A violent release of energy caused by a chemical or nuclear reaction.,
explosive,A chemical substance that undergoes a rapid chemical change (with the production of gas) on being heated or struck.,
export,Commodities (goods or services) sold to a foreign country.,
expose,The exposure of an impostor or a fraud.,he published an expose of the graft and corruption in city government
express,Mail that is distributed by a rapid and efficient system.,
expression,The feelings expressed on a person's face.,a sad expression
expressive,Characterized by expression.,a very expressive face
exquisite,Intense or sharp.,suffered exquisite pain
extend,Extend in scope or range or area.,The law was extended to all citizens
extension,A mutually agreed delay in the date set for the completion of a job or payment of a debt.,they applied for an extension of the loan
extensive,Large in spatial extent or range or scope or quantity.,an extensive Roman settlement in northwest England
extensively,In a widespread way.,oxidation ponds are extensively used for sewage treatment in the Midwest
extent,The point or degree to which something extends.,the extent of the damage
external,Outward features.,he enjoyed the solemn externals of religion
extinct,No longer in existence; lost or especially having died out leaving no living representatives.,an extinct species of fish
extinction,No longer active; extinguished.,the extinction of the volcano
extra,A minor actor in crowd scenes.,
extract,A solution obtained by steeping or soaking a substance (usually in water).,
extraordinarily,Extremely.,she was inordinately smart
extraordinary,Beyond what is ordinary or usual; highly unusual or exceptional or remarkable.,extraordinary authority
extreme,The furthest or highest degree of something.,he carried it to extremes
extreme sports,,
extremely,To a high degree or extent; favorably or with much respect.,highly successful
exultant,Joyful and proud especially because of triumph or success.,rejoicing crowds filled the streets on VJ Day
eye,The organ of sight.,
eyebrow,The arch of hair above each eye.,
eyelash,Any of the short curved hairs that grow from the edges of the eyelids.,
eyelid,Either of two folds of skin that can be moved to cover or open the eye.,his lids would stay open no longer
eyesight,Normal use of the faculty of vision.,
fabric,Artifact made by weaving or felting or knitting or crocheting natural or synthetic fibers.,the fabric in the curtains was light and semitransparent
fabulous,Extremely pleasing.,a fabulous vacation
face,The front of the human head from the forehead to the chin and ear to ear.,he washed his face
face to face,,
face-to-face,In each other's presence.,a face-to-face encounter
facilitate,Make easier.,you could facilitate the process by sharing your knowledge
facilities,A building or place that provides a particular service or is used for a particular industry.,the assembly plant is an enormous facility
facility,A building or place that provides a particular service or is used for a particular industry.,the assembly plant is an enormous facility
fact,A piece of information about circumstances that exist or events that have occurred.,first you must collect all the facts of the case
factor,Anything that contributes causally to a result.,a number of factors determined the outcome
factory,A plant consisting of one or more buildings with facilities for manufacturing.,
faculty,One of the inherent cognitive or perceptual powers of the mind.,
fade,A golf shot that curves to the right for a right-handed golfer.,he took lessons to cure his slicing
fail,Fail to do something; leave something undone.,She failed to notice that her child was no longer in his crib
failure,An act that fails.,his failure to pass the test
faint,A spontaneous loss of consciousness caused by insufficient blood to the brain.,
fair,A traveling show; having sideshows and rides and games of skill etc.,
fairly,To a moderately sufficient extent or degree.,pretty big
fairy,"A small being, human in form, playful and having magical powers.",
faith,A strong belief in a supernatural power or powers that control human destiny.,he lost his faith but not his morality
faithful,Any loyal and steadfast following.,
fake,Something that is a counterfeit; not what it seems to be.,
fall,The season when the leaves fall from the trees.,in the fall of 1973
fallen,Descend in free fall under the influence of gravity.,The branch fell from the tree
false,Not in accordance with the fact or reality or actuality.,gave false testimony under oath
falter,The act of pausing uncertainly.,there was a hesitation in his speech
fame,The state or quality of being widely honored and acclaimed.,
familiar,A person attached to the household of a high official (as a pope or bishop) who renders service in return for support.,
familiarize/familiarise,Make familiar or conversant with.,you should acquaint yourself with your new computer
family,A social unit living together.,he moved his family to Virginia
famous,Widely known and esteemed.,a famous actor
fan,A device for creating a current of air by movement of a surface or surfaces.,
fancy,Something many people believe that is false.,they have the illusion that I am very wealthy
fantastic,Ludicrously odd.,Hamlet's assumed antic disposition
fantastically,Exceedingly; extremely.,she plays fabulously well
fantasy,Imagination unrestricted by reality.,a schoolgirl fantasy
far,A terrorist organization that seeks to overthrow the government dominated by tutsi and to institute hutu control again.,in 1999 ALIR guerrillas kidnapped and killed eight foreign tourists
faraway,Very far away in space or time.,faraway mountains
fare,An agenda of things to do.,they worked rapidly down the menu of reports
farewell,An acknowledgment or expression of goodwill at parting.,
farm,Workplace consisting of farm buildings and cultivated land as a unit.,it takes several people to work the farm
farmer,A person who operates a farm.,
farming,The practice of cultivating the land or raising stock.,
farmland,A rural area where farming is practiced.,
farther,More distant in especially space or time.,they live in the farther house
farthest,(comparatives of `far') most remote in space or time or order.,had traveled to the farthest frontier
fascinate,Cause to be interested or curious.,
fascinated,Cause to be interested or curious.,
fascinating,Cause to be interested or curious.,
fascination,The state of being intensely interested (as by awe or terror).,
fashion,How something is done or how it happens.,her dignified manner
fashionable,Being or in accordance with current social fashions.,fashionable clothing
fast,Abstaining from food.,
fast food,,
fasten,Cause to be firmly attached.,fasten the lock onto the door
fat,A soft greasy substance occurring in organic tissue and consisting of a mixture of lipids (mostly triglycerides).,pizza has too much fat
fatal,Bringing death.,
fate,An event (or a course of events) that will inevitably happen in the future.,
father,A male parent (also used as a term of address to your father).,his father was born in Atlanta
father-in-law,The father of your spouse.,
fault,A wrong action attributable to bad judgment or ignorance or inattention.,he made a bad mistake
faulty,Having a defect.,I returned the appliance because it was defective
favor/favour,An act of gracious kindness.,
favorable/favourable,Encouraging or approving or pleasing.,a favorable reply
favorite/favourite,Something regarded with special favor or liking.,that book is one of my favorites
fax,Duplicator that transmits the copy by wire or radio.,
fear,An emotion experienced in anticipation of some specific pain or danger (usually accompanied by a desire to flee or fight).,
fearsome,Causing fear or dread or terror.,the awful war
feast,A ceremonial dinner party for many people.,
feat,A notable achievement.,he performed a great feat
feather,The light horny waterproof structure forming the external covering of birds.,
feature,A prominent attribute or aspect of something.,the map showed roads and other features
February,The month following january and preceding march.,
fed up,,
federal,A member of the union army during the american civil war.,
fee,A fixed charge for a privilege or for professional services.,
feed,Food for domestic livestock.,
feedback,The process in which part of the output of a system is returned to its input in order to regulate its further output.,
feel,An intuitive awareness;  or.,he has a feel for animals
feeling,The experiencing of affective and emotional states.,she had a feeling of euphoria
fellow,A boy or man.,that chap is your host
female,An animal that produces gametes (ova) that can be fertilized by male gametes (spermatozoa).,
fence,A barrier that serves to enclose an area.,
ferry,A boat that transports people or vehicles across a body of water and operates on a regular schedule.,
ferryboat,A boat that transports people or vehicles across a body of water and operates on a regular schedule.,
festival,A day or period of time set aside for feasting and celebration.,
festive,Offering fun and gaiety.,a festive (or festal) occasion
fetch,The action of fetching.,
fever,A rise in the temperature of the body; frequently a symptom of infection.,
feverishly,In a feverish manner.,she worked feverishly
few,A small elite group.,it was designed for the discriminating few
fiber/fibre,A slender and greatly elongated substance capable of being spun into yarn.,
fiction,A literary work based on the imagination and not necessarily on fact.,
fictional,Related to or involving literary fiction.,clever fictional devices
field,A piece of land cleared of trees and usually enclosed.,he planted a field of wheat
fierce,Marked by extreme and violent energy.,a ferocious beating
fifteen,The cardinal number that is the sum of fourteen and one.,
fifth,A quantity of liquor equal to one fifth of a united states gallon.,
fifty,The cardinal number that is the product of ten and five.,
fight,A hostile meeting of opposing military forces in the course of a war.,Grant won a decisive victory in the battle of Chickamauga
fighter,Someone who fights (or is fighting).,
fighting,The act of fighting; any contest or struggle.,a fight broke out at the hockey game
figurative,(used of the meanings of words or text) not literal; using figures of speech.,figurative language
figure,A diagram or picture illustrating textual material.,the area covered can be seen from Figure 2
file,A set of related records (either written or electronic) kept together.,
filial,Designating the generation or the sequence of generations following the parental generation.,
fill,A quantity sufficient to satisfy.,he ate his fill of potatoes
filling,Any material that fills a space or container.,there was not enough fill for the trench
film,A form of entertainment that enacts a story by sound and a sequence of images giving the illusion of continuous movement.,they went to a movie every Saturday night
film-maker,,
filter,Device that removes something from whatever passes through it.,
final,The final match between the winners of all previous matches in an elimination tournament.,
finally,After an unspecified period of time or an especially long delay.,
finance,The commercial activity of providing funds and capital.,
financial,Involving financial matters.,fiscal responsibility
financially,From a financial point of view.,this was financially unattractive
find,A productive insight.,
finding,"The act of determining the properties of something, usually by research or calculation.",the determination of molecular structures
fine,Money extracted as a penalty.,
finely,In tiny pieces.,the surfaces were finely granular
finger,Any of the terminal members of the hand (sometimes excepting the thumb).,her fingers were long and thin
fingernail,The nail at the end of a finger.,
finish,A decorative texture or appearance of a surface (or the substance that gives it that appearance).,the boat had a metallic finish
fire,The event of something burning (often destructive).,they lost everything in the fire
fire brigade,,
fire station,,
firearm,A portable gun.,he wore his firearm in a shoulder holster
firefighter,A member of a fire department who tries to extinguish fires.,
fireplace,An open recess in a wall at the base of a chimney where a fire can be built.,the fireplace was so large you could walk inside it
firework,(usually plural) a device with an explosive that burns at a low rate and with colored flames; can be used to illuminate areas or send signals etc.,
firm,The members of a business organization that owns or operates one or more establishments.,he worked for a brokerage house
firmly,With resolute determination.,we firmly believed it
firmness,The muscle tone of healthy tissue.,his muscular firmness
first,The first or highest in an ordering or series.,He wanted to be the first
first floor,,
first lady,,
first language,,
first name,,
first person,,
first-floor,,
firstly,Before anything else.,first we must consider the garter snake
fiscal,Involving financial matters.,fiscal responsibility
fish,Any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills.,the shark is a large fish
fisherman,Someone whose occupation is catching fish.,
fishing,The act of someone who fishes as a diversion.,
fit,A display of bad temper.,he had a fit
fitness,The quality of being suitable.,they had to prove their fitness for the position
five,The cardinal number that is the sum of four and one.,
fix,Informal terms for a difficult situation.,he got into a terrible fix
fixed,Restore by replacing a part or putting together what is torn or broken.,She repaired her TV set
flag,Emblem usually consisting of a rectangular piece of cloth of distinctive design.,
flame,The process of combustion of inflammable materials producing heat and light and (often) smoke.,fire was one of our ancestors' first discoveries
flap,Any broad thin and limber covering attached at one edge; hangs loose or projects freely.,he wrote on the flap of the envelope
flash,A sudden intense burst of radiant energy.,
flat,A level tract of land.,the salt flats of Utah
flavor/flavour,The general atmosphere of a place or situation and the effect that it has on people.,the feel of the city excited him
flaw,An imperfection in an object or machine.,a flaw caused the crystal to shatter
flawless,Without a flaw.,a flawless gemstone
flax,Fiber of the flax plant that is made into thread and woven into linen fabric.,
flea,Any wingless bloodsucking parasitic insect noted for ability to leap.,
flee,Run away quickly.,He threw down his gun and fled
fleet,Group of aircraft operating together under the same ownership.,
flesh,The soft tissue of the body of a vertebrate: mainly muscle tissue and fat.,
flexibility,The property of being flexible; easily bent or shaped.,
flexible,Capable of being changed.,flexible schedules
flexibly,With flexibility.,"`Come whenever you are free,' he said flexibly"
flight,A formation of aircraft in flight.,
flip,An acrobatic feat in which the feet roll over the head (either forward or backward) and return.,
float,The time interval between the deposit of a check in a bank and its payment.,
flock,A church congregation guided by a pastor.,
flood,The rising of a body of water and its overflowing onto normally dry land.,plains fertilized by annual inundations
floor,"The inside lower horizontal surface (as of a room, hallway, tent, or other structure).",they needed rugs to cover the bare floors
flour,Fine powdery foodstuff obtained by grinding and sifting the meal of a cereal grain.,
flow,The motion characteristic of fluids (liquids or gases).,
flower,A plant cultivated for its blooms or blossoms.,
flu,An acute febrile highly contagious viral disease.,
fluency,Powerful and effective language.,his eloquence attracted a large congregation
fluent,Smooth and unconstrained in movement.,"a long, smooth stride"
fluently,In a fluent manner.,she speaks French fluently
fluid,A substance that is fluid at room temperature and pressure.,
flunk,Failure to reach a minimum required performance.,his failing the course led to his disqualification
flute,A high-pitched woodwind instrument; a slender tube closed at one end with finger holes on one end and an opening near the closed end across which the breath is blown.,
flutter,The act of moving back and forth.,
fly,Two-winged insects characterized by active flight.,
focus,The concentration of attention or energy on something.,the focus of activity shifted to molecular biology
fog,Droplets of water vapor suspended in the air near the ground.,
foggy,Stunned or confused and slow to react (as from blows or drunkenness or exhaustion).,
fold,An angular or rounded shape made by folding.,a fold in the napkin
folder,A small book usually having a paper cover.,
folk,People in general (often used in the plural).,they're just country folk
follow,"To travel behind, go after, come after.",The ducklings followed their mother around the pond
follower,A person who accepts the leadership of another.,
following,A group of followers or enthusiasts.,
folly,The trait of acting stupidly or rashly.,
fond,Having or displaying warmth or affection.,affectionate children
fondly,With fondness; with love.,she spoke to her children fondly
fondness,A predisposition to like something.,he had a fondness for whiskey
food,Any substance that can be metabolized by an animal to give energy and build tissue.,
fool,A person who lacks good judgment.,
foolish,Devoid of good sense or judgment.,foolish remarks
foolishly,Without good sense or judgment.,He acted foolishly when he agreed to come
foot,The part of the leg of a human being below the ankle joint.,his bare feet projected from his trousers
football,Any of various games played with a ball (round or oval) in which two teams try to kick or carry or propel the ball into each other's goal.,
footballer,An athlete who plays american football.,
footnote,A printed note placed below the text on a printed page.,
for,,
forbid,Command against.,I forbid you to call me late at night
forbidden,Command against.,I forbid you to call me late at night
force,A powerful effect or influence.,the force of his eloquence easily persuaded them
forcefully,With full force.,we are seeing this film too late to feel its original impact forcefully
forecast,A prediction about how something (as the weather) will develop.,
forehead,The part of the face above the eyes.,
foreign,Of concern to or concerning the affairs of other nations (other than your own).,foreign trade
foreigner,A person who comes from a foreign country; someone who does not owe allegiance to your country.,
foreman,A person who exercises control over workers.,if you want to leave early you have to ask the foreman
foresee,Realize beforehand.,
forest,The trees and other plants in a large densely wooded area.,
forestry,The science of planting and caring for forests and the management of growing timber.,
forever,For a limitless time; ; - p.p.bliss.,no one can live forever
forget,Dismiss from the mind; stop remembering.,I tried to bury these unpleasant memories
forgive,Stop blaming or grant forgiveness.,I forgave him his infidelity
fork,Cutlery used for serving and eating food.,
form,The phonological or orthographic sound or appearance of a word that can be used to describe or identify something.,the inflected forms of a word can be represented by a stem and a list of inflections to be attached
formal,A lavish dance requiring formal attire.,
formally,With official authorization.,the club will be formally recognized
format,The organization of information according to preset specifications (usually for computer processing).,
formation,An arrangement of people or things acting as a unit.,a defensive formation
former,The first of two or the first mentioned of two.,Tom and Dick were both heroes but only the former is remembered today
formerly,At a previous time.,at one time he loved her
formidable,Extremely impressive in strength or excellence.,a formidable opponent
formula,A group of symbols that make a mathematical statement.,
forth,A river in southern scotland that flows eastward to the firth of forth.,
forthcoming,At ease in talking to others.,
fortnight,A period of fourteen consecutive days.,most major tennis tournaments last a fortnight
fortunate,Having unexpected good fortune.,"other, less fortunate, children died"
fortunately,By good fortune.,fortunately the weather was good
fortune,An unknown and unpredictable phenomenon that causes an event to result one way rather than another.,bad luck caused his downfall
forty,The cardinal number that is the product of ten and four.,
forward,"The person who plays the position of forward in certain games, such as basketball, soccer, or hockey.",
foul,An act that violates the rules of a sport.,
found,Food and lodging provided in addition to money.,they worked for $30 and found
foundation,The basis on which something is grounded.,there is little foundation for his objections
fountain,A structure from which an artificially produced jet of water arises.,
four,The cardinal number that is the sum of three and one.,
fourteen,The cardinal number that is the sum of thirteen and one.,
fox,Alert carnivorous mammal with pointed muzzle and ears and a bushy tail; most are predators that do not hunt in packs.,
fragment,A piece broken off or cut off of something else.,a fragment of rock
fragrance,A distinctive odor that is pleasant.,
frame,The framework for a pair of eyeglasses.,
frank,A member of the ancient germanic peoples who spread from the rhine into the roman empire in the 4th century.,
frankly,(used as intensives reflecting the speaker's attitude) it is sincerely the case that.,"honestly, I don't believe it"
frantically,In an uncontrolled manner.,she fought back madly
fraud,Intentional deception resulting in injury to another person.,
freak,A person or animal that is markedly unusual or deformed.,
free,People who are free.,the home of the free and the brave
freedom,The condition of being free; the power to act or speak or think without externally imposed restraints.,
freely,In a free manner.,the painting featured freely brushed strokes
freeze,The withdrawal of heat to change something from a liquid to a solid.,
freezer,Electric refrigerator (trade name deepfreeze) in which food is frozen and stored for long periods of time.,
freezing,The withdrawal of heat to change something from a liquid to a solid.,
frequency,The number of occurrences within a given time period.,the frequency of modulation was 40 cycles per second
frequent,Do one's shopping at; do business with; be a customer or client of.,
frequently,Many times at short intervals.,we often met over a cup of coffee
fresh,"Recently made, produced, or harvested.",fresh bread
freshman,A first-year undergraduate.,
Friday,The sixth day of the week; the fifth working day.,
fridge,A refrigerator in which the coolant is pumped around by an electric motor.,
fried,Be excessively hot.,"If the children stay out on the beach for another hour, they'll be fried"
friend,A person you know well and regard with affection and trust.,he was my best friend at the university
friendliness,A feeling of liking for another person; enjoyment in their company.,
friendly,Troops belonging to or allied with your own military forces.,friendlies came to their rescue
friendship,The state of being friends (or friendly).,
frigate,A medium size square-rigged warship of the 18th and 19th centuries.,
fright,An emotion experienced in anticipation of some specific pain or danger (usually accompanied by a desire to flee or fight).,
frighten,Cause fear in.,The stranger who hangs around the building frightens me
frightened,Cause fear in.,The stranger who hangs around the building frightens me
frightening,The act of inspiring with fear.,
frog,Any of various tailless stout-bodied amphibians with long hind limbs for leaping; semiaquatic and terrestrial species.,
from,,
front,The side that is forward or prominent.,
frontier,A wilderness at the edge of a settled area of a country.,the individualism of the frontier in Andrew Jackson's day
frost,Ice crystals forming a white deposit (especially on objects outside).,
frozen,Stop moving or become immobilized.,When he saw the police car he froze
frugal,Avoiding waste.,an economical meal
fruit,The ripened reproductive body of a seed plant.,
frustrated,"Hinder or prevent (the efforts, plans, or desires) of.",What ultimately frustrated every challenger was Ruth's amazing September surge
frustration,The feeling that accompanies an experience of being thwarted in attaining your goals.,
fry,English painter and art critic (1866-1934).,
frying pan,,
fuel,A substance that can be consumed to produce energy.,more fuel is needed during the winter months
fulfill/fulfil,Put in effect.,carry out a task
full,The time when the moon is fully illuminated.,the moon is at the full
full stop,,
full-time,For the entire time appropriate to an activity.,a full-time job
fully,To the greatest degree or extent; completely or entirely; (`full' in this sense is used as a combining form).,fully grown
fume,A cloud of fine particles suspended in a gas.,
fun,Activities that are enjoyable or amusing.,I do it for the fun of it
function,(mathematics) a mathematical relation such that each element of a given set (the domain of the function) is associated with an element of another set (the range of the function).,
functional,Designed for or capable of a particular function or use.,a style of writing in which every word is functional
functionality,Capable of serving a purpose well.,software with greater functionality
fund,A reserve of money set aside for some purpose.,
fundamental,Any factor that could be considered important to the understanding of a particular business.,"fundamentals include a company's growth, revenues, earnings, management, and capital structure"
funeral,A ceremony at which a dead person is buried or cremated.,hundreds of people attended his funeral
funk,A state of nervous depression.,he was in a funk
funky,Offensively malodorous.,a foul odor
funny,An account of an amusing incident (usually with a punch line).,she told a funny story
fur,The dressed hairy coat of a mammal.,
furious,Marked by extreme and violent energy.,a ferocious beating
furiously,(of the elements) in a wild and stormy manner.,winds were blowing furiously
furnish,Give something useful or necessary to.,We provided the room with an electrical heater
furniture,Furnishings that make a room or other area ready for occupancy.,they had too much furniture for the small apartment
furor/furore,An interest followed with exaggerated zeal.,he always follows the latest fads
further,Promote the growth of.,Foster our children's well-being and education
furthermore,In addition.,"computer chess games are getting cheaper all the time; furthermore, their quality is improving"
furthest,(comparatives of `far') most remote in space or time or order.,had traveled to the farthest frontier
fuss,An excited state of agitation.,he was in a dither
future,The time yet to come.,
gaiety,A gay feeling.,
gain,A quantity that is added.,there was an addition to property taxes this year
gall,An open sore on the back of a horse caused by ill-fitting or badly adjusted saddle.,
gallery,Spectators at a golf or tennis match.,
gallon,United states liquid unit equal to 4 quarts or 3.785 liters.,
gambling,The act of playing for stakes in the hope of winning (including the payment of a price for a chance to win a prize).,his gambling cost him a fortune
game,A contest with rules to determine a winner.,you need four people to play this game
gang,An association of criminals.,police tried to break up the gang
gangster,A criminal who is a member of gang.,
gap,A conspicuous disparity or difference as between two figures.,gap between income and outgo
garage,An outbuilding (or part of a building) for housing automobiles.,
garbage,Food that is discarded (as from a kitchen).,
garden,A plot of ground where plants are cultivated.,
gardener,Someone who takes care of a garden.,
gardening,The cultivation of plants.,
garlic,Bulbous herb of southern europe widely naturalized; bulb breaks up into separate strong-flavored cloves.,
garment,An article of clothing.,garments of the finest silk
gas,The state of matter distinguished from the solid and liquid states by: relatively low density and viscosity; relatively great expansion and contraction with changes in pressure and temperature; the ability to diffuse readily; and the spontaneous tendency to become distributed uniformly throughout any container.,
gasp,A short labored intake of breath with the mouth open.,she gave a gasp and fainted
gate,A movable barrier in a fence or wall.,
gateway,An entrance that can be closed by a gate.,
gather,Sewing consisting of small folds or puckers made by pulling tight a thread in a line of stitching.,
gaudy,(britain) a celebratory reunion feast or entertainment held a college.,
gay,Someone who practices homosexuality; having a sexual attraction to persons of the same sex.,
gaze,A long fixed look.,he fixed his paternal gaze on me
gear,A toothed wheel that engages another toothed mechanism in order to change the speed or direction of transmitted motion.,
gee,A unit of force equal to the force exerted by gravity; used to indicate the force to which a body is subjected when it is accelerated.,
gender,A grammatical category in inflected languages governing the agreement between nouns and pronouns and adjectives; in some languages it is quite arbitrary but in indo-european languages it is usually based on sex or animateness.,
gene,(genetics) a segment of dna that is involved in producing a polypeptide chain; it can include regions preceding and following the coding dna as well as introns between the exons; it is considered a unit of heredity.,genes were formerly called factors
general,A general officer of the highest rank.,
generalization/generalisation,Reasoning from detailed facts to general principles.,
generalize/generalise,Draw from specific cases for more general cases.,
generally,Usually; as a rule.,by and large it doesn't rain much here
generate,Bring into existence.,The new manager generated a lot of problems
generation,All the people living at the same time or of approximately the same age.,
generosity,The trait of being willing to give your money or time.,
generous,Willing to give and share unstintingly.,a generous donation
generously,In a generous manner.,he gave liberally to several charities
genetic,Occurring among members of a family usually by heredity.,an inherited disease
genetically,By genetic mechanisms.,genetically passed down talents
genetics,The branch of biology that studies heredity and variation in organisms.,
genius,Someone who has exceptional intellectual ability and originality.,Mozart was a child genius
genre,A kind of literary or artistic work.,
gentle,Cause to be more favorably inclined; gain the good will of.,She managed to mollify the angry customer
gentleman,A man of refinement.,
gently,In a gradual manner.,a gently sloping terrain
genuine,Not fake or counterfeit.,a genuine Picasso
genuinely,In accordance with truth or fact or reality.,she was now truly American
geographic,Of or relating to the science of geography.,
geographical,Of or relating to the science of geography.,
geography,Study of the earth's surface; includes people's responses to topography and climate and soil and vegetation.,
geology,A science that deals with the history of the earth as recorded in rocks.,
germ,Anything that provides inspiration for later work.,
gesture,Motion of hands or body to emphasize or help to express a thought or feeling.,
get,A return on a shot that seemed impossible to reach and would normally have resulted in a point for the opponent.,
getaway,The attribute of being capable of rapid acceleration.,his car has a lot of pickup
ghetto,Formerly the restricted quarter of many european cities in which jews were required to live.,the Warsaw ghetto
ghost,A mental representation of some haunting experience.,he looked like he had seen a ghost
giant,Any creature of exceptional size.,
gift,Something acquired without compensation.,
