word,definition,example
correspondent,"A correspondent is a person who sends or provides reports, news, or information from one place to another, especially for a newspaper, magazine, or broadcasting organization. They often act as reporters in foreign locations.","""The journalist was assigned as a correspondent in Moscow to cover the political developments in Russia."""
corresponding,"Corresponding refers to something that is similar, analogous, or related in some way to another thing. It can also mean exchanging messages or information with someone through writing or electronic means.","In the chemistry lab, each acid has a corresponding base that will neutralize it. For example, hydrochloric acid (HCl) corresponds with sodium hydroxide (NaOH)."
corridor,"A corridor is a long, narrow passageway or hallway, typically indoor and used for circulation between rooms or parts of a building. It can also refer to a similar space outdoors, such as an alley or a straight path through trees.",I quickly walked down the corridor to reach my classroom before the bell rang.
corrupt,"Corrupt refers to the act of destroying or ruining someone or something by improper means, especially through bribery or deception. It can also be used to describe a person who is dishonest and immoral in their actions, particularly if they are in a position of power.",The mayor was accused of corruption for taking bribes from construction companies in exchange for lucrative city contracts.
corruption,"Corruption is the dishonest or illegal misuse of power, position, or trust for personal gain. It often involves bribery, embezzlement, nepotism, and other unethical practices that undermine fairness, accountability, and the rule of law.",The mayor was charged with corruption after allegedly taking bribes from construction companies in exchange for city contracts.
cost,"Cost refers to the amount of money, resources, or time that is required to achieve a specific goal or acquire a particular product or service. It can be monetary (such as dollars and cents) or non-monetary (such as effort or time).","The cost of the new laptop is $1200, which is a significant investment for her."
costly,Costly refers to something that is expensive or requiring great sacrifice.,"The renovation of the old mansion turned out to be quite costly, running over budget by a significant amount."
costume,"A costume is a specialized dress or outfit, often ornate, designed to portray a specific character, historical period, or style in plays, movies, parties, or other forms of entertainment.",The actress chose an elegant Victorian-era costume for her role in the historical drama movie.
cottage,"A small, traditionally charming, usually detached house, often set in a rural or idyllic location.","""They spent their summer vacations at their quaint little cottage nestled among the rolling hills."""
cotton,"Cotton is a soft, fluffy staple fiber that grows in a round, protective case around the seeds of the cotton plants. It is one of the most widely used natural fibers for making cloth.",She wore a beautiful white dress made entirely of cotton on her wedding day.
couch,"A couch is a piece of furniture with a seat and back, typically upholstered, used for sitting, reclining, or sleeping.","""After a long day at work, I like to relax on the couch with a good book."""
cough,"A cough is an abrupt expulsion of air from the lungs, typically through the mouth, caused by a tickle or irritation in the throat or airways. It can be a symptom of various diseases or conditions.","John had a bad cold and was constantly coughing, making it difficult for him to sleep at night."
could,"""Could"" is a modal verb in English that expresses ability, possibility, or politeness. It indicates an action that may be capable of being done under certain conditions or situations.","""I could play the piano when I was younger, but I never practiced regularly."" In this sentence, ""could"" is used to indicate the speaker's past ability to play the piano."
council,"A council is a group of people who come together to discuss, make decisions, and take action on matters related to their community, organization, or profession.",The city council discussed the proposed budget for the upcoming year and made adjustments before it was presented to the public.
counseling/counselling,"Counseling (or counselling, depending on regional usage) is a professional process in which individuals seek advice and guidance from trained experts to help them deal with personal, social, or psychological issues. It often involves talking about feelings, thoughts, and behaviors that may be causing emotional distress or difficulty in life.","After experiencing a traumatic event, John decided to seek counseling to help him cope with the aftermath and work through his feelings of fear and anxiety."
count,"To count is to determine the number of items or quantities in a collection, usually by recognizing and adding up individual units.","There are five apples on the table, I need to count them to make sure I have enough for the recipe."
counter,"A counter is a piece of furniture or surface, typically in a kitchen or store, used for various purposes such as food preparation, displaying items for sale, or counting objects.","""She placed the groceries on the kitchen counter before unpacking them."""
countless,"Countless means too numerous to be counted or infinitely many. It is often used to express an extremely large, unlimited, or indeterminate number of items.",I have received countless emails from my clients in the past week.
country,"A country is a distinct political entity, identified by its territory, institutions, and population, which is sovereign or under the protection of another power. It is usually a geographically defined area with boundaries recognized by other states.","She was born in Canada, a beautiful and peaceful country famous for its maple syrup and hockey."
countryman,"A countryman is a person who lives or comes from a country, especially one living in the countryside or rural areas.","The two countrymen greeted each other warmly at the local market, exchanging stories of their latest harvests."
countryside,"The countryside refers to rural areas or landscapes, typically consisting of farms, villages, forests, and open fields that are not urban.","""On our road trip, we decided to take a break in the peaceful English countryside."""
countrywide,Refers to something that extends or pertains to an entire country.,The government issued a nationwide lockdown due to the pandemic.
county,"A county is a territorial division of a country, usually an administrative unit below a state or province and above a city or borough. It often refers to a jurisdiction governed by a council or similar group of elected officials.","She was born in Lancashire, a county located in the northwest of England."
couple,A couple refers to two people who are in a romantic relationship or who are paired together in some way.,"They are a happy couple and have been married for 20 years. Or, John and Mary make a great team - they're a good couple at solving problems together."
courage,"Courage is the ability to confront fear, pain, danger, or adversity, and act with bravery and valour. It involves standing up for what one believes in, even when it is difficult or dangerous.","Despite her trembling legs, she mustered the courage to stand up in front of the large audience and deliver her speech with conviction."
courageous,"Courageous refers to someone who faces danger, difficulty, or pain, even though they feel fear, because they think it is the right thing to do.","Despite the stormy weather, the firefighter was courageous in rescuing the trapped family from their burning home."
courgette,"Courgette is a type of summer squash that has light-green skin and is long, slender, and cylindrical. It is also known as zucchini in many English-speaking countries.",I added grilled courgette to my pasta dish for extra flavor and nutrients.
course,"A course is a series of lectures, practicals, or studies in a particular subject, usually leading to the award of a certificate, diploma, or degree.","""I'm taking a computer programming course at the local community college this semester."""
court,"A court is a tribunal or a place where the law is administered. It can refer to a building where legal proceedings take place, or a group of judges or magistrates.",The defendant pleaded not guilty in the criminal court.
courtesy,"Courtesy is a polite, considerate, and respectful behavior towards others. It often involves showing kindness, good manners, and thoughtfulness in one's interactions.","John always held the door open for others, demonstrating his courtesy and consideration for those around him."
cousin,"A cousin is a relative who shares a common grandparent or great-grandparent with another individual. In simpler terms, they are the children of one's aunt or uncle.",My cousin Sarah lives in California and we chat every weekend.
cover,"To cover is to protect, conceal, or provide a surface for something. It can also mean to perform a version of a song or story.",She wore a raincoat to cover herself from the heavy downpour.
cow,"A cow is a female adult bovine animal, especially one of a domestic breed raised for its milk, meat, or hide. Cows are often used for labor in agriculture, particularly in plowing and pulling carts.","""The farmer was milking the brown and white cow before breakfast."""
coward,"A coward is an individual who lacks courage, boldness, or bravery in the face of danger or difficulty. They are often characterized by fear and timidity.","Despite knowing that he was right, John chose not to stand up for himself during the argument because he was too afraid; he was indeed a coward on this occasion."
cowardly,"Showing or having cowardice, which is the lack of courage in the face of danger, difficulty, or pain. It is characterized by fearfulness and a tendency to avoid danger or risk.",The thief was cowardly and fled the scene when he heard sirens approaching.
coziness/cosiness,"A quality of being warm, comfortable, inviting, and homelike, often associated with a sense of peacefulness or tranquility.","""Wrapped in a soft blanket, she savored the coziness of her reading nook on a rainy day."""
cozy/cosy,"A cozy or cosy environment is one that is small, comfortable, and inviting, often associated with warmth, security, and a sense of intimacy. It can also refer to clothing or objects that provide comfort and a feeling of relaxation.","""Wrapped in a soft, hand-knit blanket, she found the cozy nook by the fireplace to be the perfect spot to read her book."""
crab,"A crab is a type of crustacean with a very short projecting ""tail"" and usually two pairs of pincers. Crabs are commonly found in the oceans, but some species live in fresh water.",The brown crab (Cancer pagurus) is commonly found in Europe's rocky shores and is known for its delicious meat.
crack,"A crack is a small opening, break, or split in a surface.",The windshield of the car had a crack that was difficult to ignore.
craft,"Craft refers to a skillful activity, typically involving making things by hand or through a creative process. It can be associated with traditional arts and skills, such as pottery, weaving, or woodworking.",She spent hours crafting intricate designs on the quilt for her sister's wedding.
craftsman,"A craftsman is a skilled worker who creates objects, especially using traditional methods and materials. They often demonstrate a high level of artistry and attention to detail in their work.","John is a dedicated craftsman, handcrafting intricate furniture from reclaimed wood that not only serves its purpose but also showcases his artistic talent."
crash,"An abrupt halt, collapse, or failure, often accompanied by severe damage. It can also refer to a violent collision, especially between vehicles.","The stock market experienced a crash today, causing investors to lose millions of dollars."
crater,"A crater is a hollow, bowl-shaped depression in the ground or on the surface of a planet or moon, caused by the impact of a meteorite or volcanic eruption.",The Moon has many craters created by the impact of meteorites over billions of years.
crawl,"To move or cause to move slowly on hands and knees, typically over a difficult surface. It can also refer to the slow progress of something.","The baby learned to crawl at seven months old, moving across the room with determination."
crazy,"Extremely foolish, irrational, or unpredictable. Often used to describe someone behaving in a wildly impractical manner.","""John decided to dye his hair purple and get a tattoo of a clown on his face just because it was Friday the 13th; everyone thought he had gone completely crazy."""
cream,"A soft, fatty substance made from milk or cream, used chiefly for spreading on bread or pastries, or applied to the skin. It can also refer to the fatty part that rises to the top of liquids such as milk and yogurt.","She spread strawberry cream on her morning toast. After showering, she moisturized her skin with a rich vanilla body cream."
crease,"A crease is a sharp, folded line or wrinkle in an object or fabric caused by repeated folding or pressing. It can also refer to the act of folding something, especially when done with force or to create a distinct line or shape.","After sitting on the couch for hours, noticeable creases appeared in her jeans."
create,"To make or cause something to come into existence using imagination, skill, and effort. It can be used for both physical and intangible things.",She created a beautiful painting using watercolors and brushes.
creation,"The act or process of bringing something into being, especially something new or never before created. It can also refer to the world or universe as a whole, according to certain religious beliefs, which was created by a higher power.","The artist spent months on the creation of her first sculpture, resulting in a beautiful masterpiece. According to Genesis, God created the heavens and the earth."
creative,"Creative refers to the ability or act of making or thinking of something new and imaginative, especially in an original and innovative way. It often involves using one's mental powers to produce artistic work or solve problems.","""John is a creative writer; his unique storylines keep readers engaged."""
creatively,"Creatively refers to using imagination or original ideas to solve problems, produce works of art or design, or think outside the box. It involves thinking innovatively and finding unique solutions.","""She creatively redesigned the company's logo, incorporating elements that symbolized both tradition and innovation."""
creativity,"Creativity is the ability to generate new ideas, solutions, or concepts. It often involves thinking outside the box and bringing novelty to a given situation.","Sarah's creativity shone when she designed an innovative recycling system for her town, using old shipping containers as mobile waste collection points."
creator,"A creator is an individual or group that conceives, designs, and produces something new, especially in the field of art, literature, technology, or any other domain. It often implies originality and innovation.",The artist was hailed as a creator of modern abstract expressionism.
creature,"A creature is any living being, especially an animal; it can also refer to mythical or imaginary beings.",The scientist studied various creatures in the rainforest for her research.
credit,"Credit refers to trust or confidence placed in a person's ability to repay borrowed money or to do something reliably. It can also refer to the system of loans, debits, and credits used to keep track of financial accounts, especially those related to a bank or other lending institution.",John was able to purchase a new car because he had good credit history with the bank.
credit card,"A credit card is a type of payment card that enables the holder to borrow money against a line of credit, which is provided by a bank or financial institution. The user can then pay for goods and services based on this borrowed credit, with the expectation of repaying the amount (plus interest) at a later date.","""John used his credit card to purchase a new laptop from an online store last week."""
creek,"A small, usually narrow stream of water that flows into a larger body of water.","""We went hiking near the countryside and found a peaceful creek where we could rest for a while."""
creepy,"Creepy refers to something that makes one feel uneasy, awkward, or fearful due to an uncanny, strange, or inappropriate feeling, often suggesting a sense of danger. It can relate to behavior, objects, or environments that seem to violate societal norms, evoke a strong sense of discomfort, or provoke feelings of apprehension.",The old man's disheveled appearance and strange behavior made the park feel creepy at night.
crew,"A crew is a group of people who work together, especially on a ship or aircraft. They are responsible for operating and maintaining the vehicle, as well as fulfilling any other necessary tasks.",The captain called the crew to the bridge because we were approaching the harbor.
cricket,"Cricket is an outdoor sport played between two teams, each consisting of eleven players. It originated in southeast England during the 16th century and is most popular in countries like India, Australia, England, and several nations in the West Indies and South Asia. The objective of the game is to score runs, either by hitting the ball with a bat (also known as a cricket bat) and running between two sets of three wickets or by scoring runs through penalties awarded for unfair play by the opposing team.","The Australian cricket team faced off against India in an exciting match at the Melbourne Cricket Ground last night, with both teams showcasing excellent batting skills and strategic fielding tactics."
crime,"Crime is an act or behavior that is considered to be against the law and punishable by a government authority. It can encompass a wide range of acts, including but not limited to theft, violence, fraud, and public disorder.","John was arrested for committing a crime, specifically robbery, when he stole money from the bank."
criminal,A criminal is an individual who has broken one or more laws established by a governing authority and is subject to legal punishment.,"The suspect was charged with robbery, making him a criminal according to the law."
cripple,"To cripple means to make (someone or something) unable to function properly or move easily, typically by causing physical harm or impairment. It can also refer to a person with a severe physical disability, especially one that affects mobility.",The accident left him crippled and confined to a wheelchair for the rest of his life.
crisis,"A critical time or state in which a difficult or crucial decision must be made, typically one with serious and sometimes far-reaching consequences.","The company faced a crisis when their main supplier went bankrupt, leaving them without necessary materials to manufacture their products."
crisp,"Crisp refers to something that is sharp, clear, or distinct in quality, especially in terms of being cleanly defined and having a crunchy texture. It can also refer to something that is fresh, lively, or vivid.",The autumn leaves crunched crisply underfoot as she walked through the park.
critic,"A critic is a person who offers analyses or reviews of creative works, such as books, movies, music, art, or performances. They often evaluate the quality and merit of these works based on certain criteria and share their opinions publicly.","The theater critic for the local newspaper gave a scathing review of the new play, saying it lacked depth and originality."
critical,"Critical refers to something that is essential, vital, or extremely important in a given context. It can also mean being harshly or severely critical, expressing disapproval or finding fault.",The teacher was critical of the students' lack of preparation for the exam. (Harshly criticizing)
critically,"To critically analyze or evaluate something carefully, often with an emphasis on judgment and discernment. It can also mean to be in a critical condition or state.","The reviewer critically examined the new movie before writing his article. In this case, he analyzed its plot, characters, and cinematography thoroughly. However, when doctors said John was critically ill, it meant that his health was extremely poor and needed immediate medical attention."
criticism,"Criticism is the act of judging or evaluating something, especially in a negative way, typically by pointing out faults or shortcomings.","""John's painting received criticism for its lack of detail and color balance."""
criticize/criticise,"To judge or evaluate unfavorably; to express disapproval, find fault with, or point out errors in something or someone.",The new movie was criticized for its weak plot and poor acting.
crocodile,"A crocodile is a large, carnivorous reptile belonging to the family Crocodylidae, characterized by its long snout and strong jaws.","The Nile crocodile lies in wait at the riverbank, its green scales blending seamlessly with the surrounding vegetation."
crop,"Crop refers to the act of harvesting or the product that results from this action, specifically referring to grains, fruits, or other produce, especially in a field. It can also refer to the action of cutting and reducing a photograph or image.",She carefully cropped her picture to remove the unwanted background noise. (Reducing an image)
cross,"To cross means to pass over or move from one side to another, either literally by moving physically, or figuratively in various contexts like completing a task.",The children crossed the road carefully when the traffic light turned red.
crossing,"Crossing refers to the act of passing or moving from one side to another, typically over an obstacle or intersection. It can also refer to a place where such passage occurs.","Every day at rush hour, there is a long line of cars waiting for their turn to cross the busy intersection."
crossly,"Crossly means in a petulant, irritable, or bad-tempered manner. It suggests an expression or action that shows annoyance or anger.",She crossedly threw the book across the room when she realized she had lost her favorite pen.
crossroads,"A crossroads is an intersection where four or more roads, paths, or routes meet. It often symbolizes a significant decision point in one's life or situation.","Standing at the crossroads, John had to decide whether to pursue his dream job in another city or stay close to family and friends."
crow,"A crow is a type of bird belonging to the family Corvidae, known for their black plumage and strong, rough call. Crows are intelligent and adaptable birds found worldwide.","""A group of crows cawed loudly from the treetops as they flew overhead, their shiny black feathers gleaming in the sunlight."""
crowd,"A large number of people gathered together in one place, often in public.",The football stadium was filled with a crowd cheering for their favorite team during the match.
crowded,"Crowded refers to a situation or place that is filled with more people, things, or vehicles than can comfortably fit.",The train was crowded during rush hour because everyone was trying to get home before the weekend started.
crown,"A crown is a circular headpiece, traditionally made from gold or precious metals and set with jewels, worn by a monarch or a person playing the role of one in a ceremony. It is also used figuratively to denote supreme power or status.",The queen wore her glittering diamond crown during the coronation ceremony.
crucial,"Crucial refers to something that is extremely important or essential for the success, validity, or existence of something else.",The testimony from the key witness was crucial in proving the defendant's guilt.
cruel,"Cruel refers to an action or behavior that causes unnecessary pain, suffering, or harm. It is characterized by a lack of compassion and empathy towards others.","The guard was cruel to the prisoners, making them work long hours under harsh conditions with no food or water."
cruelly,"Inflicting pain or suffering in a deliberately mean, malicious, or heartless way.","The king ruled cruelly, taxing his subjects heavily and punishing them severely for minor offenses."
cruelty,"Cruelty refers to the infliction of pain or suffering on a living being, often intentionally and without just cause.",The owner was charged with cruelty for leaving his dog chained up outside in freezing temperatures without adequate shelter.
cruise,"A cruise is a vacation spent on a ship, traveling to various destinations while enjoying amenities and activities provided by the ship.","""Last summer, we took a two-week Caribbean cruise on the Royal Caribbean's Freedom of the Seas."""
crush,"A strong feeling of affection or admiration, particularly towards someone with whom one is infatuated.","""I have a crush on her because she's so kind and clever."""
cry,"To cry is to shed tears as an expression of strong emotion such as sorrow, pain, fear, or joy. It can also be used to refer to making a loud noise like that of a baby or animal.","After losing her beloved pet dog, Sarah cried uncontrollably for hours. When the fire alarm went off, everyone in the building began to cry out in panic."
crystallize/crystallise,"To crystallize or crystalize means to form a solid structure made up of repeating units, typically a mineral or a chemical compound. It can also mean to make something clear or definite in one's mind, often by thinking about it carefully and thoroughly.","Through much discussion, the team members were able to crystallize their ideas about the project's direction. (Mental crystallization)"
cube,A cube is a six-faced three-dimensional geometric shape with all faces being squares and all angles being right angles.,"The dice that children play with are made up of six equal, small cubes."
cubism,"Cubism is an abstract artistic style developed by Pablo Picasso and Georges Braque in the early 20th century. It characteristically breaks objects into geometric shapes, often emphasizing multiple viewpoints simultaneously, and rejects traditional notions of perspective and shading.","In his painting ""Les Demoiselles d'Avignon,"" Picasso showcases the key features of cubism by fragmenting the human figures into various geometric forms while depicting them from several viewpoints at once."
cucumber,"A cucumber is a long, cylindrical fruit that is typically green in color. It belongs to the Cucurbitaceae family and is commonly eaten fresh or pickled.","I'm making a salad for lunch with tomatoes, lettuce, and sliced cucumbers."
cuff,"A cuff is a part of clothing, typically at the end of a sleeve or trouser leg, that can be folded back to fasten with a button or tie. It also refers to the act of hitting someone gently on the arm.",She rolled up the cuffs of her jeans before starting work on the garden.
culmination,The culmination is the final or highest point in the development or achievement of something.,"After years of hard work and perseverance, the culmination of their research was a groundbreaking discovery that changed the field of medicine."
cultivate,"To cultivate means to care for, develop, or improve something (like a skill, relationship, or plant) over time by providing it with the necessary conditions to grow and thrive. It can also refer to fostering a particular attitude, quality, or habit in oneself or others.","John decided to cultivate his musical talent by practicing guitar for an hour every day. Over time, he improved significantly and even started performing in small concerts."
cultural,"Relating to a group's shared traditions, values, beliefs, customs, and artifacts that are passed down through generations.",The festival showcases various cultural dances from around the world.
culturally,"Relating to a group's shared beliefs, values, customs, behavior, and artifacts that are passed down through generations.","The museum showcased traditional Korean music and dance, giving visitors a glimpse into the culturally rich history of Korea."
culture,"Culture refers to the set of shared beliefs, values, customs, behaviors, and artifacts that a particular group or society has developed over time. It encompasses language, religion, cuisine, social structure, and artistic expression.","In Japan, the tea ceremony is an integral part of their culture, reflecting their emphasis on harmony, respect, purity, and tranquility."
cup,"A cup is a small, typically round, open vessel used for drinking beverages or measuring liquid quantities. It usually has a handle and a spout.","I'll have a cup of coffee, please."
cupboard,"A cupboard is a piece of furniture with shelves or hanging rods for storing dishes, food, clothes, and other household items.","""The cookies are in the cupboard above the refrigerator."""
cure,To make well or healthy again after (an illness or disease); to free from a harmful or negative condition.,"After several weeks of antibiotics, the patient was finally cured of pneumonia."
curiosity,"Curiosity is an intense desire to learn or know something, typically characterized by exploration, investigation, and inquiry. It often involves asking questions and seeking information beyond what is necessary or immediately useful.","""John's curiosity about the solar system led him to spend hours reading books on astronomy."""
curious,Eager to know or learn something; showing an intense desire to satisfy one's interest or curiosity.,"""John was curious about the mysterious noise coming from the attic, so he decided to investigate."""
curiously,Showing keen and excited interest or surprise; inquisitive.,"She walked over to the strange, old machine curiously, wanting to figure out what it was used for."
curl,"Curl refers to the pattern of wavy or spiraling hair strands, or the action of a fluid (such as water) forming waves or whirlpools.","Her long, curly hair cascaded down her back like a golden waterfall."
curly,"Adjective used to describe something with a series of loops, rings, or coils arranged irregularly or in a way that is not straight.",The woman had curly brown hair that bounced as she walked.
currency,"Currency is a medium of exchange currently in use in a particular country or region, consisting of physical coins and banknotes or digital representation in electronic form.",I exchanged my dollars for euros before traveling to Europe.
current,"Current refers to an electric flow of charge, typically from high potential to low potential. It is a measure of the rate at which electric charges flow through a conductor.",The current flowing through the wires in my house is 15 amperes.
currently,Currently means at the present time or now. It can also indicate a state or situation that is ongoing or temporary.,I am currently working from home due to the pandemic restrictions.
curriculum,"Curriculum refers to a planned sequence of courses, activities, or instruction designed to help learners acquire knowledge and skills in a particular subject area or field. It is the structured framework that guides teaching and learning processes.","The university curriculum includes a four-year course of study with mandatory classes in mathematics, science, humanities, and social sciences, along with elective courses for specialized studies."
curry,"Curry is a dish originating from India, typically made by simmering spices, vegetables, and meat or seafood in a sauce called a curry sauce. The sauce is often flavored with ingredients such as turmeric, cumin, coriander, and chili peppers.","""I had a delicious chicken curry for dinner last night, made with coconut milk, potatoes, and bell peppers, served over rice."""
curse,"To curse is to utter a violent wish or invocation that something bad will happen to someone or something, often as a form of punishment or expression of anger. It can also refer to a series of such expressions or an object or situation considered to bring bad luck.","After breaking his favorite vase, John angrily cursed it, saying, ""You worthless piece of junk!"" Little did he know, that vase was actually the family heirloom and bringing it to a flea market was indeed a curse for his wallet."
cursor,"A cursor is an on-screen pointer that can be moved around to indicate the location where the next character, command, or action will occur in a graphical user interface.","When typing a document using a computer, the cursor blinks at the current position of the text insertion point. For example, ""The cursor is blinking at the end of this sentence, indicating it's ready for me to type more."""
curtain,"A curtain is a piece of cloth or other material that hangs down from a rod or track above a window or door opening, used for privacy, light control, or decoration.","""She drew the heavy velvet curtains closed to block out the sunlight."""
curve,"A curve is a line in a plane or space that does not form a straight line, i.e., it deviates from a constant course. It's characterized by its shape and can be described using mathematical equations.",The road ahead curves to the left before reaching the town.
cushion,"A cushion is a soft, usually upholstered piece of furniture used to make seating more comfortable or to protect something from being damaged by impact.",She sat down on the soft cushion to relax after a long day at work.
custom,"Custom refers to a long-established habit, practice, or tradition within a particular group. It is typically followed out of cultural respect or expectation rather than a legal requirement.","In many African cultures, it is a custom to greet elders with respect and a traditional phrase before engaging in conversation."
customer,A customer is an individual or organization that purchases goods or services from a business or service provider.,"""Jane is a regular customer at the bookstore, where she often buys mystery novels."""
customs,"Customs refers to established practices, traditions, or habits within a particular group, society, or culture. It can also refer to the inspection of goods when entering or exiting a country, performed by customs officials.","In her hometown, it was customary for everyone to greet each other with a hug and kiss on both cheeks."
cut,"To cut means to make an opening or slit in something, to separate with a tool, or to reduce the length of something. It can also mean to omit or exclude something from a continuous activity.","The movie was too long, so they decided to cut out some unnecessary scenes. (Omit or exclude from a continuous activity)"
cute,"Cute refers to something that is small, appealing, and often adorable or endearing. It's typically used for describing young animals, babies, or things associated with them.",The puppy's playful wagging tail and button nose make it really cute.
CV,"A Curriculum Vitae (CV) is a detailed document outlining an individual's education, qualifications, work experience, skills, and other relevant information, typically submitted to potential employers during job application processes.","Jane Doe has prepared her CV to apply for the marketing position at XYZ Corporation. In it, she includes details about her university degree in Business Administration, her five years of work experience as a marketing assistant, and her proficiency in multiple languages."
cyberaddict,"A cyberaddict is an individual who is excessively preoccupied with, and dependent on, the use of electronic devices and online activities to a degree that interferes with daily life.","Despite his family's concerns, John was labeled as a cyberaddict due to his inability to stay away from online games for extended periods, often neglecting work, meals, and social interactions."
cybercafe/cybercafé,"A cybercafe, also spelled as cybercafé, is a public place offering internet access and computer terminals along with food and beverages.","""John spent his afternoon at the local cybercafe, working on his presentation while enjoying a cup of coffee."""
cybercrime,"Cybercrime refers to any illegal activity that takes place online, such as hacking, identity theft, cyberstalking, or the distribution of malware.","""Last week, the IT department discovered a cybercrime incident where sensitive customer data was compromised due to an unidentified phishing attack."""
cyberpet,"A cyberpet is an interactive digital pet simulated on a computer or mobile device, often with artificial intelligence for real-time interaction.","""The child enjoys taking care of her cyberpet, feeding it, playing games with it, and even cleaning up after it virtually."""
cyberschool,Cyberschool refers to a school that delivers educational content and instruction primarily or exclusively through digital platforms and the internet.,"Sarah enrolled in a cyberschool this year, allowing her to learn from home while still keeping up with her curriculum."
cyberspace,"Cyberspace refers to the collective digital networks that enable communication, connection, and interaction between computers and computer users. It's a virtual space where information is exchanged, data is stored, and transactions occur online.","John spends most of his free time in cyberspace, chatting with friends on social media, playing video games, and researching topics for his college assignments."
cycle,"A cycle is a repeated sequence of events, actions, or steps that continuously follow one after another.","The earth goes through four seasons in a yearly cycle: spring, summer, autumn, and winter."
cycling,"Cycling is the activity of riding bicycles, typically for recreation, exercise, or transportation.",John enjoys cycling along the river path every morning before work.
cyclist,"A cyclist is a person who rides a bicycle, especially as a means of transportation or for recreation.","The cyclist pedaled quickly down the steep hill, taking advantage of the wind to gain speed."
dad,A dad is a term used to refer to one's father or another adult male who acts in the capacity of a parent.,"""My dad helped me build my first treehouse when I was a kid."""
daddy,"Daddy refers to a man who is a father, often used informally or affectionately.","""My daddy taught me how to ride a bike when I was six."""
daft,"Daft means foolish, silly, or stupid. It can also refer to something that is absurd or ridiculous.","""He was so daft for believing that old wives' tale about putting salt on a snakebite."""
daily,"Happening or occurring every day, regular but not necessarily frequent.",I take a daily walk around the park before breakfast.
daisy,"Daisy refers to a type of common wildflower (Bellis perennis) with white petals surrounding a yellow center, or any similar flower that resembles it. It is often used as a symbol of innocence and purity.","""There were daisies growing in the meadow, their pure white petals surrounded by a golden center."""
dam,"A dam is a large barrier made of concrete, rock, or other materials constructed across a river or stream to control its flow. It is primarily used for flood control, irrigation, hydroelectric power generation, and water storage.","The Hoover Dam, built in the 1930s, controls the Colorado River and provides electricity, irrigation, and flood control for several states in the western United States."
damage,"Damage refers to harm or injury inflicted on something, such as a person, object, or environment.",The hailstorm caused significant damage to the roof of our house.
damaged,"Damaged refers to something that has been harmed, broken, or weakened. It implies a change in the original condition of an object or a person due to wear and tear, an accident, or other adverse conditions.",The car was damaged during the collision on the highway.
damn,"An interjection used to express strong disappointment, annoyance, or surprise, often with a sense of intensity. It can also be used as an intensifier, meaning very much or extremely.","""I've lost my keys AGAIN! DAMN it!"" or ""This coffee is so hot I can barely drink it – it's damn near boiling!"""
damp,"Damp refers to a state of moderate or slight wetness, usually in reference to the condition of something being slightly moist. It's often used to describe a building, a room, or the ground that is not completely dry.","The basement was damp, and I could feel the moisture in the air as I walked down the steps."
dance,"Dance is a form of expression or social interaction characterized by rhythmic body movements, often in response to music. It can be improvised or prearranged and may be performed solo or as part of a group.",She danced gracefully under the spotlight during the ballet performance.
dancer,"A dancer is a person who performs or practices dance, especially one trained in formal styles and techniques.",The ballerina twirled gracefully across the stage during the final act of Swan Lake.
dancing,"Dancing is a form of expression or exercise characterized by rhythmic body movements, usually in response to music. It can be social, competitive, or performed artistically for entertainment.","Sarah danced gracefully at the wedding reception, swaying gently to the slow rhythm of the jazz song playing."
dandelion,"Dandelion is a common, widespread flowering plant that belongs to the sunflower family. It's known for its characteristic yellow flowers and puffball seeds.","Every spring, dandelions bloom in my garden, creating a bright, cheerful sight among the green leaves."
danger,A situation that may cause harm or threaten one's safety.,Crossing the street without looking both ways can be dangerous.
dangerous,"Possessing or causing a risk of physical harm, injury, or death; likely to cause damage or put one's safety at risk.","""Crossing the busy street without looking both ways is dangerous."""
dangerously,"Dangerously implies a situation or action that is potentially harmful, risky, or posing a serious threat. It suggests that caution should be exercised due to the high level of potential harm.","""The driver was going dangerously fast on the icy road, causing other motorists to swerve out of the way."""
dare,"To dare is to show courage by voluntarily confronting fear or risk, typically by doing something potentially dangerous or difficult. It implies the possibility of failure or harm but also the willingness to take that risk for some reason.","""I dare you to jump off the diving board!"" In this sentence, one person is challenging another to do something they find difficult or scary (jumping from a height into water)."
dark,"Dark refers to something that is not lit or poorly lit, usually in terms of color, or having a grim or somber quality. It can also mean mysterious, complex, or hard to understand.",The room was so dark I couldn't see anything; the mystery surrounding his past was as dark as a moonless night.
darkness,"Darkness refers to a lack of light, both physically (as in the absence of visible daylight or artificial light) and figuratively (as in a state of ignorance, confusion, despair, etc.).","""The room was enveloped in darkness as she turned off the lights before going to sleep."""
darling,"A term of endearment, often used to express affection, tenderness, or familiarity towards someone.","""Goodnight, darling! See you tomorrow."""
dash,"A dash is a punctuation mark used to indicate a break or pause within a sentence, set off parenthetical expressions, separate lists, or show suddenness or emphasis.",She ran through the park - stopping only for a moment to catch her breath.
data,"Data refers to facts, figures, or information collected to analyze or draw conclusions about a particular subject or area. It can be numerical, textual, graphical, or any other form of recorded information.","In the study of climate change, scientists collect and analyze various types of data such as temperature readings, precipitation levels, and atmospheric carbon dioxide concentrations to understand the effects of global warming."
